id,Chief of Technology,Systems Manager,Network Manager,Database Administrator,Software Developer,Tester,Quality Assurance Analyst,Web Developer,Penetration Tester,Data Scientist,Chief Executive,Client Support Manager,Operations Manager,Sales Manager,Financial Manager,Human Resources Manager,Project Manager,Product Manager,Marketing Specialist,Designer,Recruiter,English,Spannish,French,German,Russian,Portuguese,HTML,CSS,Bootstrap,Tailwind.css,Javascript,Python,C,C++,Java,React,Vue,PHP,Flutter,SQL,NoSQL,PostgreSQL,MySQL,R,Dart,Linux,Flask,Django,Laravel,Node.js,Git,Docker,Kubernetes,Android,IOS,AWS,Azure,Office Suit,Agile,Google Analytic,Blender,Photoshop,Video Editing,Graphic Design,Filming,Professional Writing,Communication,Negotiation,Speaking,Management,Team working,Critical Thinking,Coordination
februral,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,84,98,37,59,3,88,31,3,59,24,69,40,45,23,45,19,3,88,58,73,42,75,72,94,10,3,65,37,69,56,51,32,24,91,14,71,38,66,88,14,43,49,95,61,35,80,88,43,8,66,13,86
dollnotifications,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67,10,56,82,16,47,76,66,55,81,16,47,23,17,91,12,79,3,94,17,27,18,45,39,58,31,40,94,78,66,82,87,88,34,44,25,66,59,52,3,34,59,86,5,79,87,4,85,56,42,0,49,35
kennydecember,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,87,51,17,16,37,55,18,66,93,16,73,22,51,56,28,1,91,32,27,45,81,84,97,81,60,45,96,2,89,90,29,90,54,35,93,31,1,65,40,34,25,73,69,86,26,52,59,8,76,31,81,48
devicesentences,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,73,59,55,41,2,63,27,72,31,22,76,89,9,33,59,99,99,45,12,2,45,31,69,40,85,67,81,22,69,21,19,84,63,95,78,19,38,48,1,52,77,74,1,71,20,2,41,81,50,25,65,16
seasonsstruggle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,6,62,55,60,34,99,16,5,73,2,68,73,34,91,22,68,63,40,68,79,81,80,70,69,17,90,36,85,36,61,55,82,63,83,90,93,19,50,85,6,44,98,20,10,72,76,9,75,14,78,4,31
darwinrose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47,67,56,58,41,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,57,86,80,35,44,91,66,97,59,27,0,20,32,66,10
reboundpensions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,95,49,6,72,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,69,79,15,78,49,51,14,51,17,21,1,3,78,67,73
transphil,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,28,0,57,84,29,76,62,44,63,92,44,58,12,21,63,71,1,65,65,7,40,45,15,39,57,67,11,76,40,89,69,60,55,5,81,74,69,44,95,4,38,74,37,32,10,91,0,80,46,52,46
needtulsa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,85,95,71,96,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,83,63,69,46,27,68,12,26,47,98,36,16,87,65,63
goodshardware,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,97,66,94,31,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,24,16,49,52,12,60,72,28,39,69,46,99,42,82,2
riverheadset,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,89,71,36,84,10,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,39,71,74,54,31,47,3,20,0,51,34,80,25,75,20
ringresident,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,63,88,98,26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7,30,1,14,34,83,18,44,15,89,8,64,74,61,54
correspondencenirvana,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,3,23,61,98,45,40,16,57,68,9,33,27,71,56,90,42,66,7,74,32,84,29,15,66,29,25,33,57,54,2,82,95,28,15,73,78,79,72,50,52,98,87,32,64,48,55,52,87,31,49,74,64
valentinetions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,79,40,6,98,71,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21,82,77,63,20,3,65,50,60,86,56,85,23,49,31
diedsupplier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,40,12,64,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,58,56,61,57,66,52,54,12,88,35,83,97,65,38,9
bookstorescale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54,49,89,39,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,75,50,71,0,63,44,69,16,2,65,63,10,1,21,4
homeappearing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,45,77,91,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,93,48,22,32,28,19,3,26,53,73,72,32,34,52,68
faultvalidity,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,38,45,62,88,53,77,15,55,3,55,80,33,88,36,23,33,49,4,46,52,1,68,40,50,33,88,10,77,75,22,86,61,95,29,41,38,22,0,52,79,85,28,47,67,30,73,0,11,33,86,57,49
spiritsusername,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,17,57,78,83,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16,88,71,63,18,12,39,33,12,6,52,16,66,53,54
nnpresentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,75,94,93,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,11,98,9,86,94,99,52,34,93,93,47,63,70,19,57
annemotional,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,4,16,47,20,26,13,74,36,82,61,67,23,39,91,52,44,17,24,65,67,27,6,0,79,25,6,45,53,57,19,42,2,95,37,46,73,50,26,5,7,30,72,41,86,20,24,11,5,18,37,39
constantlyauthorized,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,99,50,48,10,95,56,51,94,75,51,9,46,68,42,23,96,98,35,42,32,10,17,50,79,70,91,47,91,5,91,31,31,52,35,71,25,55,97,62,44,42,56,25,45,81,3,91,97,22,10,17,15
rewardconvicted,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,77,40,66,29,57,21,34,10,17,6,81,91,29,18,10,55,51,53,71,43,94,20,82,18,39,69,47,4,53,97,12,83,29,56,58,60,59,24,90,94,23,18,10,29,56,54,75,69,49,70,5,59
householdsrankings,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,79,42,91,74,80,73,95,65,78,35,0,97,70,80,65,20,79,87,66,62,48,94,41,6,43,33,6,38,53,81,50,72,25,96,22,63,28,53,38,54,84,88,22,85,82,27,2,15,7,91,29,8
joiningvariety,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,49,10,72,45,94,82,58,80,2,37,78,95,48,45,30,3,93,72,48,54,49,37,98,79,7,45,79,19,55,12,51,31,54,40,71,62,72,79,25,37,45,32,22,47,55,75,72,67,74,83,1,98
memoryrelation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,45,56,2,82,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,48,6,58,70,62,19,82,48,23,93,33,36,53,59,60
grabtypically,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71,62,9,45,36,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,93,66,17,35,78,90,32,98,71,73,31,46,34,25,23
webloginvolvement,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,91,71,50,17,96,12,85,50,85,4,69,35,87,89,98,80,72,69,93,18,11,78,75,53,33,54,82,82,92,76,57,25,69,24,56,33,36,14,80,67,78,83,0,67,21,40,87,41,61,80,95,59
alongartists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,3,6,6,40,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,48,12,74,46,49,53,89,93,32,34,37,5,99,49,83
turnerbias,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,28,58,64,13,18,73,21,67,26,43,46,40,57,31,83,60,45,88,56,74,67,50,94,99,40,31,91,91,10,54,73,29,8,90,89,29,57,14,67,89,7,69,58,99,28,64,78,29,24,36,23,96
colonlaptop,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,62,36,94,34,94,0,31,61,28,31,43,41,53,19,93,4,65,82,45,10,10,13,34,78,75,18,84,48,60,74,15,23,6,25,60,54,75,83,31,75,98,98,96,67,96,1,70,87,34,83,7,20
assessmentsslim,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,87,12,6,29,12,48,41,44,46,27,21,83,51,7,4,54,34,31,84,84,98,25,24,42,42,65,81,59,77,24,79,87,4,60,28,24,10,23,32,40,94,40,40,56,20,8,67,34,63,24,4,20
crownfriend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80,1,55,62,76,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,96,80,71,94,15,53,94,35,80,13,97,65,72,42,2
noblebarbados,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41,12,31,66,47,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,39,73,27,81,52,22,80,43,51,58,25,97,28,51,22
tonguex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46,99,43,44,55,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,39,98,45,89,95,13,63,58,71,34,27,14,52,24,46
professionalssas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36,67,37,23,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,35,76,76,71,13,1,52,44,90,25,76,68,39,0,57
playerinvestment,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,13,88,71,60,65,27,40,56,26,90,50,12,85,28,19,84,19,77,8,84,94,7,96,60,29,45,59,15,7,12,96,99,63,37,77,98,9,28,52,88,91,77,73,18,33,40,72,66,60,56,91,42
syntaxpainted,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,98,17,77,86,0,71,65,1,22,47,34,75,40,2,23,65,21,0,7,36,93,76,80,84,12,57,24,63,80,25,80,27,45,76,68,42,15,95,14,25,54,68,0,40,72,71,82,8,11,87,54,21,66
screensavercrafts,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,98,49,7,75,30,67,53,14,55,98,74,38,62,48,43,54,26,95,53,35,30,22,97,50,79,99,27,41,22,36,57,62,63,5,63,3,64,94,85,50,5,89,44,49,45,15,82,26,17,61,85,97
linkingsys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90,82,29,56,28,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,70,23,77,55,59,69,28,91,91,16,38,85,8,35,19
proofhardcore,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,42,36,96,78,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,28,77,15,45,72,24,93,47,26,51,11,78,5,46
administratorsfail,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,82,34,66,93,89,44,22,38,19,17,53,61,76,74,79,0,23,28,91,3,50,33,73,4,8,26,72,53,48,76,27,84,91,15,29,56,25,49,60,26,88,7,65,86,66,10,44,36,44,41,67,33
continuessafe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,28,44,25,63,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,59,70,73,17,69,40,33,61,61,98,73,47,70,46
clipcharacters,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80,68,10,72,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,68,20,0,33,31,15,70,16,59,95,2,91,87,99,89
meetingresolved,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,75,12,66,99,33,72,14,9,87,9,32,86,5,47,78,2,64,97,98,5,82,76,59,0,58,1,69,53,54,53,31,3,53,28,24,71,80,87,34,99,90,54,70,84,2,75,44,60,71,29,52,51
etcatherine,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,22,55,78,49,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,89,91,94,81,88,1,32,33,43,95,47,5,21,48,62
caribbeaninternational,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,96,53,53,68,16,6,26,15,48,8,68,25,79,45,75,91,75,30,7,41,6,33,85,87,9,7,3,84,78,81,89,19,99,62,61,97,74,2,95,4,19,28,57,58,83,5,31,96,4,24,13,76
