id,Chief of Technology,Systems Manager,Network Manager,Database Administrator,Software Developer,Tester,Quality Assurance Analyst,Web Developer,Penetration Tester,Data Scientist,Chief Executive,Client Support Manager,Operations Manager,Sales Manager,Financial Manager,Human Resources Manager,Project Manager,Product Manager,Marketing Specialist,Designer,Recruiter,English,Spannish,French,German,Russian,Portuguese,HTML,CSS,Bootstrap,Tailwind.css,Javascript,Python,C,C++,Java,React,Vue,PHP,Flutter,SQL,NoSQL,PostgreSQL,MySQL,R,Dart,Linux,Flask,Django,Laravel,Node.js,Git,Docker,Kubernetes,Android,IOS,AWS,Azure,Office Suit,Agile,Google Analytic,Blender,Photoshop,Video Editing,Graphic Design,Filming,Professional Writing,Communication,Negotiation,Speaking,Management,Team working,Critical Thinking,Coordination
relativelytransexual,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,13,83,99,74,69,96,39,21,49,68,60,44,42,48,43,97,25,99,96,23,9,21,90,85,84,93,36,72,96,58,63,83,88,2,58,16,38,7,49,43,51,56,55,21,63,13,26,13,33,92,0,28
richmondrelate,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,21,96,65,24,64,99,87,62,89,57,93,76,39,64,48,38,60,80,44,72,95,76,82,70,66,48,44,39,23,17,93,28,82,96,49,16,59,95,17,33,54,85,83,5,95,90,50,57,71,68,56,70
soulsvoters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35,86,2,97,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,76,43,50,23,43,49,51,77,72,94,22,60,15,90,2
essentialsenglish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,28,12,41,64,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,39,36,22,57,8,92,83,77,11,19,41,51,90,49
spheresalt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,72,78,22,68,77,81,94,93,62,79,22,96,14,32,8,26,6,64,62,64,83,91,41,76,77,46,33,56,10,4,78,68,34,95,44,57,90,3,91,31,93,32,79,26,37,40,68,27,97,66,64,10
enterprisechelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,77,18,60,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,72,24,26,20,38,23,64,81,48,71,70,25,38,30,73
recommendedlaboratory,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,45,9,97,44,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,41,14,98,71,6,71,8,92,94,52,30,44,36,94,22
ddchan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82,65,35,52,17,84,9,72,46,48,37,30,60,18,21,19,75,53,57,46,86,35,79,7,100,46,1,96,71,93,27,39,76,77,75,88,28,92,40,83,25,22,68,93,32,27,31,36,24,96,45,41,29
tcautomatic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,8,37,70,10,27,43,64,31,74,94,77,65,14,85,39,47,22,49,14,5,29,9,10,26,75,78,92,30,28,26,13,88,2,96,70,19,26,30,2,79,18,10,66,26,61,13,92,84,47,29,89
welshpb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,83,1,14,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,31,85,22,66,13,38,53,45,91,39,16,90,42,100,95
reliabilitydinner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92,62,81,18,93,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,56,48,75,46,49,12,54,47,42,42,92,0,7,65
airlinessum,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,86,83,49,97,67,68,46,61,74,86,35,24,77,55,33,47,95,26,76,64,94,48,80,67,78,97,38,40,45,0,34,45,80,17,16,22,12,62,43,47,41,6,31,14,48,41,38,73,1,55,39,48,71
boldbizarre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88,58,10,84,5,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,62,36,65,6,52,22,40,25,63,66,4,78,90,49,83
assessmentestablishing,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,30,60,72,74,4,7,59,49,35,70,98,98,62,57,73,48,99,16,17,99,87,98,5,48,0,61,78,69,88,54,99,99,69,11,46,56,71,79,40,92,54,94,19,17,30,61,2,28,52,13,22,80
griffinwins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,58,23,58,26,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,36,1,40,20,20,79,21,51,7,79,30,50,83,27,0
aquaticreverse,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,44,58,72,57,45,45,0,75,7,96,100,49,85,27,41,93,86,37,91,61,62,85,79,22,83,57,58,72,84,97,19,60,39,46,90,77,5,66,38,25,20,43,78,13,52,49,65,94,54,31,30,46
